STATUS | wrapper  | 2014/12/11 11:09:40 | Launching a JVM...
INFO   | wrapper  | 2014/12/11 11:09:40 | Java Command Line:
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[0] : /usr/lib/jvm/java-7-oracle/bin/java
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[1] : -Djava.library.path=../lib
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[2] : -classpath
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[3] : ../lib/wrapper.jar:../../bin
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[4] : -Dwrapper.key=POL2g9VQ-utsF-_X
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[5] : -Dwrapper.port=32000
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[6] : -Dwrapper.disable_console_input=TRUE
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[7] : -Dwrapper.pid=27917
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[8] : -Dwrapper.version=3.5.26
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[9] : -Dwrapper.native_library=wrapper
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[10] : -Dwrapper.arch=x86
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[11] : -Dwrapper.service=TRUE
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[12] : -Dwrapper.cpu.timeout=10
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[13] : -Dwrapper.jvmid=5
INFO   | wrapper  | 2014/12/11 11:09:40 |   Command[14] : com.sample.Main
ERROR  | wrapper  | 2014/12/11 11:09:40 | JVM exited while loading the application.
INFO   | jvm 5    | 2014/12/11 11:09:40 | Hola Mundo
FATAL  | wrapper  | 2014/12/11 11:09:40 | There were 5 failed launches in a row, each lasting less than 300 seconds.  Giving up.
FATAL  | wrapper  | 2014/12/11 11:09:40 |   There may be a configuration problem: please check the logs.
STATUS | wrapper  | 2014/12/11 11:09:40 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/12/11 11:10:06 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/12/11 11:10:06 | Java Service Wrapper Community Edition 64-bit 3.5.26
STATUS | wrapper  | 2014/12/11 11:10:06 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/12/11 11:10:06 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/12/11 11:10:06 | 
STATUS | wrapper  | 2014/12/11 11:10:06 | Launching a JVM...
INFO   | wrapper  | 2014/12/11 11:10:06 | Java Command Line:
INFO   | wrapper  | 2014/12/11 11:10:06 |   Command[0] : /usr/lib/jvm/java-7-oracle/bin/java
INFO   | wrapper  | 2014/12/11 11:10:06 |   Command[1] : -Djava.library.path=../lib
INFO   | wrapper  | 2014/12/11 11:10:06 |   Command[2] : -classpath
INFO   | wrapper  | 2014/12/11 11:10:06 |   Command[3] : ../lib/wrapper.jar:../../bin
INFO   | wrapper  | 2014/12/11 11:10:06 |   Command[4] : -Dwrapper.key=1z1LT9002QRlIndC
INFO   | wrapper  | 2014/12/11 11:10:06 |   Command[5] : -Dwrapper.port=32000
